fight_id,fighter_id,round,knockdowns,strikes_att,strikes_succ,head_strikes_att,head_strikes_succ,body_strikes_att,body_strikes_succ,leg_strikes_att,leg_strikes_succ,distance_strikes_att,distance_strikes_succ,ground_strikes_att,ground_strikes_succ,clinch_strikes_att,clinch_strikes_succ,total_strikes_att,total_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
0072df705378477c,9b68bf67c5695185,1,0,27,12,12,2,9,5,6,5,18,5,0,0,9,7,29,14,0,0,0,0,0:37
0072df705378477c,9b68bf67c5695185,2,0,30,10,22,2,3,3,5,5,28,8,0,0,2,2,37,17,0,0,0,0,0:53
0072df705378477c,9b68bf67c5695185,3,0,15,6,12,4,1,0,2,2,14,5,0,0,1,1,21,11,0,0,0,0,0:41
0072df705378477c,c80095f6092271a7,1,0,32,19,19,10,7,5,6,4,18,10,1,1,13,8,52,38,4,1,0,0,1:44
0072df705378477c,c80095f6092271a7,2,0,48,21,38,12,8,7,2,2,41,17,0,0,7,4,61,34,0,0,0,0,0:00
0072df705378477c,c80095f6092271a7,3,0,32,20,24,13,6,5,2,2,16,8,13,9,3,3,50,38,2,2,1,0,2:00
00731068c3195f7f,22aa91e402d0fe1f,1,0,15,5,14,5,1,0,0,0,9,2,6,3,0,0,34,19,3,1,0,0,1:04
00731068c3195f7f,c0eecd851dbf3146,1,0,7,5,5,3,0,0,2,2,4,2,1,1,2,2,19,16,0,0,0,0,0:24
00742aea8da72a35,51e86de150ee8be6,1,0,16,4,14,2,0,0,2,2,16,4,0,0,0,0,16,4,0,0,0,0,0:00
00742aea8da72a35,c03a5022f8439f2a,1,2,35,17,31,14,1,0,3,3,21,10,9,5,5,2,40,22,0,0,0,0,0:30
00835554f95fa911,429e7d3725852ce9,1,0,4,4,3,3,0,0,1,1,0,0,3,3,1,1,11,11,2,1,0,0,--
00835554f95fa911,46c8ec317aff28ac,1,0,2,1,0,0,2,1,0,0,1,0,0,0,1,1,3,2,0,0,0,0,--
008d0158831dcbd4,185fb0200a4605e6,1,0,12,3,7,1,2,0,3,2,12,3,0,0,0,0,12,3,1,0,0,0,0:29
008d0158831dcbd4,1fcfc3709fe58151,1,0,13,6,9,2,2,2,2,2,13,6,0,0,0,0,14,7,2,2,1,0,1:21
008d1123cc90f003,658c3465581ae46b,1,0,26,18,10,3,2,2,14,13,26,18,0,0,0,0,26,18,0,0,0,0,0:00
008d1123cc90f003,658c3465581ae46b,2,0,19,12,9,5,2,2,8,5,18,11,1,1,0,0,19,12,0,0,0,0,0:24
008d1123cc90f003,ebc1f40e00e0c481,1,0,43,19,30,7,8,7,5,5,43,19,0,0,0,0,43,19,0,0,0,0,0:00
008d1123cc90f003,ebc1f40e00e0c481,2,0,39,12,25,3,4,3,10,6,38,11,0,0,1,1,39,12,0,0,1,0,0:03
0094d2ed98819f7a,a0c64f272b65d441,1,0,21,8,19,7,2,1,0,0,17,7,2,1,2,0,26,12,3,3,0,0,0:49
0094d2ed98819f7a,a0c64f272b65d441,2,0,23,9,23,9,0,0,0,0,20,7,2,2,1,0,32,17,6,1,0,0,2:02
0094d2ed98819f7a,a0c64f272b65d441,3,0,49,15,48,15,1,0,0,0,49,15,0,0,0,0,49,15,3,0,0,0,0:00
0094d2ed98819f7a,a0f0004aadf10b71,1,0,22,8,14,3,3,2,5,3,22,8,0,0,0,0,30,16,0,0,0,0,2:07
0094d2ed98819f7a,a0f0004aadf10b71,2,0,29,12,24,8,4,3,1,1,22,7,3,2,4,3,57,34,2,1,2,0,1:43
0094d2ed98819f7a,a0f0004aadf10b71,3,0,48,17,44,16,3,1,1,0,48,17,0,0,0,0,48,17,1,0,0,0,0:00
0096879f5708526b,634e2fb70bde3fd5,1,0,13,7,6,1,4,4,3,2,13,7,0,0,0,0,13,7,0,0,0,0,0:00
0096879f5708526b,634e2fb70bde3fd5,2,0,33,12,22,5,7,3,4,4,32,11,0,0,1,1,34,12,0,0,0,0,0:00
0096879f5708526b,634e2fb70bde3fd5,3,1,7,6,5,4,1,1,1,1,5,5,2,1,0,0,7,6,0,0,0,0,0:02
0096879f5708526b,673ea7dcc786b1b3,1,0,25,5,17,1,2,2,6,2,25,5,0,0,0,0,25,5,0,0,0,0,0:00
0096879f5708526b,673ea7dcc786b1b3,2,0,34,8,23,3,6,3,5,2,34,8,0,0,0,0,40,14,0,0,0,0,0:13
0096879f5708526b,673ea7dcc786b1b3,3,0,6,2,4,0,1,1,1,1,6,2,0,0,0,0,6,2,0,0,0,0,0:00
009feda296ae589c,36541f1e6c5d4955,1,0,48,18,42,13,4,3,2,2,48,18,0,0,0,0,65,35,0,0,1,0,0:00
009feda296ae589c,36541f1e6c5d4955,2,0,8,4,7,3,1,1,0,0,7,3,1,1,0,0,24,15,0,0,0,0,0:00
009feda296ae589c,36541f1e6c5d4955,3,0,59,24,56,21,1,1,2,2,59,24,0,0,0,0,73,36,0,0,1,0,0:00
009feda296ae589c,beecb672a279223e,1,0,71,31,58,20,4,4,9,7,70,31,1,0,0,0,91,48,1,1,0,0,2:25
009feda296ae589c,beecb672a279223e,2,0,15,9,13,7,1,1,1,1,9,4,6,5,0,0,112,81,0,0,0,0,4:40
009feda296ae589c,beecb672a279223e,3,0,97,58,78,44,11,6,8,8,97,58,0,0,0,0,117,76,1,1,0,0,1:15
00a5e033391bf8df,029880cdbf5ca089,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,34,33,0,0,0,0,0:00
00a5e033391bf8df,029880cdbf5ca089,2,0,9,4,9,4,0,0,0,0,4,1,2,2,3,1,49,43,0,0,0,0,0:00
00a5e033391bf8df,029880cdbf5ca089,3,0,22,12,22,12,0,0,0,0,6,1,14,9,2,2,37,26,3,2,0,0,3:06
00a5e033391bf8df,029880cdbf5ca089,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,21,19,1,0,1,0,0:00
00a5e033391bf8df,029880cdbf5ca089,5,0,5,3,5,3,0,0,0,0,1,0,4,3,0,0,26,23,1,1,0,0,2:41
00a5e033391bf8df,621a6c59f88a44fe,1,0,18,11,18,11,0,0,0,0,2,0,16,11,0,0,29,22,4,2,0,0,4:47
00a5e033391bf8df,621a6c59f88a44fe,2,0,18,8,18,8,0,0,0,0,12,4,6,4,0,0,30,20,2,2,0,0,4:04
00a5e033391bf8df,621a6c59f88a44fe,3,0,14,3,14,3,0,0,0,0,14,3,0,0,0,0,18,7,0,0,1,0,0:09
00a5e033391bf8df,621a6c59f88a44fe,4,0,25,16,25,16,0,0,0,0,2,0,23,16,0,0,35,26,1,1,0,0,4:30
00a5e033391bf8df,621a6c59f88a44fe,5,0,13,6,11,4,2,2,0,0,6,2,7,4,0,0,28,21,0,0,0,0,1:29
00a94d5fc7ce55cf,dd6103dd7127db1d,1,0,17,9,8,3,7,4,2,2,17,9,0,0,0,0,28,20,1,1,1,0,1:36
00a94d5fc7ce55cf,f998f5c102250d6e,1,0,4,1,3,1,0,0,1,0,4,1,0,0,0,0,4,1,0,0,0,0,0:00
00b1e95f6aea7027,e872e9a9a902c045,1,0,66,17,61,14,3,2,2,1,64,16,0,0,2,1,66,17,0,0,0,0,0:00
00b1e95f6aea7027,e872e9a9a902c045,2,0,70,21,60,14,7,4,3,3,68,19,0,0,2,2,71,22,0,0,0,0,0:05
00b1e95f6aea7027,e872e9a9a902c045,3,0,65,27,59,23,5,3,1,1,50,14,10,8,5,5,70,31,0,0,0,0,0:45
00b1e95f6aea7027,f72465a784c1b084,1,0,63,25,42,11,11,4,10,10,61,24,0,0,2,1,63,25,1,0,0,0,0:00
00b1e95f6aea7027,f72465a784c1b084,2,0,66,29,40,10,18,13,8,6,62,26,0,0,4,3,66,29,0,0,0,0,0:00
00b1e95f6aea7027,f72465a784c1b084,3,0,61,27,45,18,13,7,3,2,51,20,0,0,10,7,63,29,2,0,0,0,0:20
