fight_id,event_id,referee,fighter_1,fighter_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,time_format,scores_1,scores_2
3729ff914eaede07,20821819c401ced8,Yves Lavigne,98d961097baaf308,a7151778b3381036,98d961097baaf308,3,F,Featherweight,M,Submission,Armbar From Bottom Guard,1,2:11,3 Rnd (5-5-5),,
41be95916aef568f,20821819c401ced8,Yves Lavigne,1291edf2d566a71a,0d62719b1dcf7c40,0d62719b1dcf7c40,3,F,Featherweight,M,Decision,Split,3,5:00,3 Rnd (5-5-5),83,87
752f19e9c201ea57,20821819c401ced8,Keith Peterson,4234f0097c83fa62,4498b382c65a7faa,4234f0097c83fa62,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),90,81
78bb2b441917848c,20821819c401ced8,Dan Miragliotta,bb1a2cdad6ff34db,c07efc18b231f170,c07efc18b231f170,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),78,90
7aede55e4e47c698,20821819c401ced8,Yves Lavigne,37d5b176d438d2a5,045f25b3a4c08e81,37d5b176d438d2a5,3,F,Middleweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),90,79
b4ec3e067604f90a,20821819c401ced8,Keith Peterson,d2c55d1d2e67773b,13a0275fa13c4d26,13a0275fa13c4d26,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,2,0:39,3 Rnd (5-5-5),,
b8b2cdf962cc65a0,20821819c401ced8,Herb Dean,4e0692ad070976e4,484acc7b0f856ce9,4e0692ad070976e4,3,F,Welterweight,M,KO/TKO,Punches to Head In Clinch,1,1:32,3 Rnd (5-5-5),,
c037cdc1de53de8e,20821819c401ced8,Dan Miragliotta,3a8176e15b9887c1,7a703c565ccaa18f,7a703c565ccaa18f,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,3,2:46,3 Rnd (5-5-5),,
df9aa51f6ccdfe02,20821819c401ced8,Dan Miragliotta,dccb63727f2f5f74,f9b200db02b488d9,Draw,3,F,Lightweight,M,Decision,Majority,3,5:00,3 Rnd (5-5-5),85,84
e4e1d12441b90866,20821819c401ced8,Herb Dean,b1a3e0aca758b322,1338e2c7480bdf9e,1338e2c7480bdf9e,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,1,4:51,3 Rnd (5-5-5),,
e9700d51ec2b940b,20821819c401ced8,Herb Dean,d967f0128c323de6,d3df1add9d9a7efb,d967f0128c323de6,5,T,Heavyweight,M,Submission,Rear Naked Choke,2,2:14,5 Rnd (5-5-5-5-5),,
