win,weight_diff,height_diff,reach_diff,age_diff,fighter_form_score,opponent_form_score,fighter_fight_no,opponent_fight_no,fighter_win_ratio,fighter_recent_win_ratio,opponent_win_ratio,opponent_recent_win_ratio,fighter_strikes_landed,fighter_strikes_attempted,fighter_strikes_accuracy,opponent_strikes_landed,opponent_strikes_attempted,opponent_strikes_accuracy,fighter_takedowns,fighter_takedown_accuracy,opponent_takedowns,opponent_takedown_accuracy,fighter_knockdowns,fighter_ko_ratio,opponent_knockdowns,opponent_ko_ratio,fighter_control_time,opponent_control_time
1,15.0,3.0,2.0,-0.06297056810403845,1.2000000000000002,-0.5,10,4,1.0,1.0,0.0,0.0,49.333333333333336,106.33333333333333,0.46394984326018807,47.0,85.0,0.5529411764705883,0.3333333333333333,0.07692307692307693,6.0,0.5454545454545454,1.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0
1,15.0,2.0,6.0,2.373716632443532,1.5000000000000002,1.5000000000000002,13,3,1.0,1.0,1.0,1.0,46.4,68.0,0.6823529411764706,41.8,95.4,0.4381551362683438,2.6,0.7647058823529411,0.2,0.3333333333333333,0.4,0.6,1.0,0.4,0.0,0.0
1,0.0,-3.0,-4.0,12.28747433264887,0.5,-0.5,7,5,1.0,1.0,0.0,0.0,4.0,12.0,0.3333333333333333,41.0,159.0,0.2578616352201258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,-6.0,0.010951403148531824,-0.5,0.5,6,3,0.0,0.0,1.0,1.0,13.0,33.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
1,-20.0,-1.0,0.0,3.9206023271731674,1.2000000000000002,0.20000000000000007,10,4,1.0,1.0,0.6666666666666666,0.6666666666666666,17.0,21.333333333333332,0.796875,54.333333333333336,146.0,0.3721461187214612,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0
1,-15.0,-6.0,-5.0,5.952087611225192,-0.5,0.5,4,3,0.0,0.0,1.0,1.0,26.0,62.0,0.41935483870967744,59.0,96.0,0.6145833333333334,2.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,-1.0,-4.0,-2.5489390828199845,-0.6000000000000001,0.9,11,3,0.25,0.3333333333333333,1.0,1.0,55.5,85.5,0.6491228070175439,22.0,47.0,0.46808510638297873,1.25,0.45454545454545453,1.5,0.75,0.25,0.75,0.0,0.0,0.0,0.0
1,-15.0,-3.0,-2.0,3.879534565366189,0.09999999999999998,-0.4,6,5,0.5,0.5,0.3333333333333333,0.3333333333333333,40.5,65.5,0.6183206106870229,43.666666666666664,92.0,0.4746376811594203,2.0,0.8,2.3333333333333335,0.5,1.0,0.0,0.0,0.0,0.0,0.0
1,15.0,3.0,5.0,-2.0479123887748116,0.9,0.6,6,4,1.0,1.0,0.6666666666666666,0.6666666666666666,23.0,44.5,0.5168539325842697,9.333333333333334,27.666666666666668,0.3373493975903614,3.0,0.5,0.6666666666666666,0.4,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
1,0.0,1.0,2.0,-5.566050650239564,0.20000000000000007,-0.5,11,4,0.6666666666666666,0.6666666666666666,0.0,0.0,40.666666666666664,84.66666666666667,0.48031496062992124,1.0,3.0,0.3333333333333333,2.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,-2.0,-2.4887063655030772,-0.3999999999999999,0.7000000000000002,8,4,0.5,0.3333333333333333,0.8,0.6666666666666666,9.5,17.25,0.5507246376811594,47.8,119.4,0.40033500837520936,0.25,1.0,0.2,0.5,0.0,0.25,0.2,0.4,0.0,0.0
1,-10.0,0.0,2.0,-6.099931553730325,-0.6,0.09999999999999998,8,4,0.3333333333333333,0.3333333333333333,0.5,0.5,19.666666666666668,63.333333333333336,0.3105263157894737,34.0,53.0,0.6415094339622641,0.6666666666666666,0.2,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
1,-15.0,-1.0,-1.0,-0.5393566050650236,2.7755575615628914e-17,-0.8,6,6,0.5,0.6666666666666666,0.25,0.3333333333333333,8.0,26.0,0.3076923076923077,38.75,81.0,0.4783950617283951,4.5,0.5142857142857142,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1,-25.0,-2.0,-3.0,14.3025325119781,-0.5,-0.09999999999999998,14,4,0.5,0.3333333333333333,0.5,0.5,38.875,68.75,0.5654545454545454,31.5,53.5,0.5887850467289719,2.625,0.6,0.5,1.0,0.125,0.375,0.5,0.5,0.0,0.0
1,0.0,0.0,3.0,-4.1423682409308675,-0.3999999999999999,-0.9000000000000001,8,8,0.5,0.3333333333333333,0.375,0.0,41.5,120.0,0.3458333333333333,18.25,41.875,0.43582089552238806,0.0,0.0,1.5,0.24489795918367346,0.25,0.75,0.0,0.5,0.0,0.0
1,-35.0,-4.0,-5.0,6.264202600958249,0.6000000000000001,0.5,12,3,0.75,0.6666666666666666,1.0,1.0,32.75,67.75,0.4833948339483395,21.0,47.0,0.44680851063829785,1.5,0.375,0.0,0.0,0.25,0.25,1.0,1.0,0.0,0.0
1,0.0,1.0,-1.0,-5.5578370978781635,0.5,0.20000000000000007,6,4,1.0,1.0,0.6666666666666666,0.6666666666666666,54.0,90.0,0.6,14.0,40.333333333333336,0.34710743801652894,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
1,-10.0,3.0,4.0,5.5359342915811105,0.20000000000000007,-0.9,10,5,0.6666666666666666,0.6666666666666666,0.0,0.0,21.0,50.666666666666664,0.4144736842105263,38.0,90.5,0.4198895027624309,1.0,0.15789473684210525,4.0,0.4444444444444444,0.0,0.0,0.5,0.0,0.0,0.0
1,-15.0,-1.0,-2.0,3.049965776865161,0.09999999999999995,1.4000000000000001,12,3,0.4,0.6666666666666666,1.0,1.0,55.8,87.2,0.6399082568807339,54.0,115.75,0.46652267818574517,1.2,0.42857142857142855,0.5,0.13333333333333333,0.2,0.6,1.25,0.5,0.0,0.0
1,24.0,-1.0,-3.0,-4.019164955509925,-0.6,0.20000000000000007,11,4,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,6.666666666666667,0.3,46.0,77.0,0.5974025974025974,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
